_day,block_count,total_bytes,total_txs,non_empty_blocks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,daily_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_eth_usd,p10_eth_usd,p50_eth_usd,p90_eth_usd,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_mib_7d,cost_per_mib_usd_7d,cumulative_daily_mib,cumulative_daily_da_spend_usd
2025-11-16,13493,162476656,37474,12263,3231.199264818502,1000.0,2000.0,6000.0,3220.0,22427.20000000004,147244.19999999984,154.94981384277344,0.0057418592545309954,0.476837158203125,1.2041551619358186,3096.499,3065.098,3090.31,3149.12,3.246914535424e-09,4.63844933632e-10,3.213988200448e-09,3.2404248985600003e-09,3.30209165312e-09,5.031088028273439e-07,0.0057418592545309954,1.2041551619358186,154.94981384277344,3.246914535424e-09,154.94981384277344,5.031088028273439e-07
2025-11-17,27600,170952085,78590,25106,3234.659877952903,1000.0,2000.0,6000.0,2165.0,9928.400000000009,85608.20999999996,163.03261280059814,0.0029534893623296764,0.476837158203125,0.6193916123188405,3124.144166666667,3008.267,3137.625,3194.33,3.275902593706667e-09,4.679860848152381e-10,3.154396577792e-09,3.290038272e-09,3.34949777408e-09,5.340789591322543e-07,0.004347674308430336,0.9117733871273296,158.9912133216858,3.2614085645653335e-09,317.9824266433716,1.037187761959598e-06
2025-11-18,26091,622953005,87521,23449,3422.9793977812997,1000.0,2000.0,7000.0,5638.0,37254.0,282303.49999999994,594.0942811965942,0.011385042374699977,0.476837158203125,2.3876164386186804,3063.536666666667,3004.0589999999997,3054.9849999999997,3137.2369999999996,3.212351023786667e-09,4.58907289112381e-10,3.149984169984e-09,3.20338395136e-09,3.289631424512e-09,1.9084393724276834e-06,0.00669346366385355,1.4037210709577799,304.0255692799886,3.2450560509724446e-09,912.0767078399658,2.9456271343872814e-06
2025-11-19,24999,682087081,90596,22738,3571.7415567773137,1000.0,2000.0,6000.0,7535.0,39884.0,300333.24000000005,650.4889307022095,0.01301029902600523,0.476837158203125,2.728457462298492,3031.101666666667,2922.248,3055.92,3100.627,3.178340461226667e-09,4.540486373180953e-10,3.064199118848e-09,3.20436436992e-09,3.2512430571520002e-09,2.067475288030902e-06,0.00827267250439147,1.7349051687929578,390.6414096355438,3.228377153536e-09,1562.5656385421753,5.0131024224181836e-06
2025-11-20,25568,645024746,99224,23066,3482.7475008061915,1000.0,2000.0,6000.0,6190.0,39951.2,279805.3999999997,615.143533706665,0.012029559091572767,0.476837158203125,2.522781390801001,2969.3704166666666,2836.725,3010.13,3038.0860000000002,3.113610554026667e-09,4.4480150771809527e-10,2.9745217536e-09,3.1563500748800003e-09,3.1856640655360004e-09,1.9153173987903308e-06,0.009024049821827728,1.8924804131945663,435.5418344497681,3.205423833634134e-09,2177.7091722488403,6.928419821208514e-06
2025-11-21,24695,702093493,120501,22537,3612.168095337654,1000.0,2000.0,6000.0,9516.0,49070.00000000002,292128.70000000024,669.5685319900513,0.013556763150233879,0.476837158203125,2.8430592954039278,2761.912083333333,2698.624,2755.84,2827.474,2.8960747246933333e-09,4.1372496067047617e-10,2.829712359424e-09,2.8897076838400002e-09,2.9648213770240002e-09,1.9391205019464068e-06,0.009779502043228755,2.050910226896127,474.54628403981525,3.153865648810667e-09,2847.2777042388916,8.867540323154922e-06
2025-11-22,24961,734209039,93850,22670,3567.723818962669,1000.0,2000.0,6000.0,8406.0,54778.0,295161.6000000008,700.1963033676147,0.014025806325219638,0.476837158203125,2.941424778654701,2745.62875,2722.228,2747.0550000000003,2766.729,2.8790004121600002e-09,4.112857731657143e-10,2.8544629473280004e-09,2.8804959436800006e-09,2.901125627904e-09,2.015865445988271e-06,0.010386116940656024,2.178126591433066,506.7820010866438,3.114599186432e-09,3547.4740076065063,1.0883405769143193e-05
2025-11-23,25324,678960046,93673,23194,3523.5668270406914,1000.0,2000.0,6000.0,7541.0,40457.90000000002,274804.77,647.506757736206,0.012784448699577596,0.476837158203125,2.6810932159216554,2814.76375,2792.168,2817.165,2836.7999999999997,2.95149371392e-09,4.216419591314286e-10,2.927800352768e-09,2.95401160704e-09,2.9746003968e-09,1.9111121251791327e-06,0.011392201147091252,2.3891177420024716,577.1472787857056,3.072396211931429e-09,4194.980765342712,1.2794517894322325e-05
2025-11-24,24454,679671300,87840,22013,3644.2972836173444,1000.0,2000.0,6000.0,7217.5,56628.0,278918.8300000001,648.1850624084473,0.013253150045155133,0.476837158203125,2.779387012349718,2857.315416666667,2798.55,2834.125,2955.917,2.996112370346667e-09,4.2801605290666673e-10,2.9344923648000005e-09,2.9717954560000003e-09,3.0995036241920003e-09,1.9420352837558752e-06,0.012863581244637748,2.697688513435453,646.4547715868268,3.0324261800228575e-09,4843.16582775116,1.47365531780782e-05
2025-11-25,24507,695177066,95616,22452,3633.7862280738655,1000.0,2000.0,6000.0,7490.0,55911.00000000014,289743.59999999986,662.9725131988525,0.01352618666501107,0.476837158203125,2.8366469416901294,2919.087916666667,2888.1620000000003,2925.245,2943.493,3.060885531306667e-09,4.3726936161523814e-10,3.0284573573120004e-09,3.06734170112e-09,3.0864761159680003e-09,2.0292829733043857e-06,0.013169459000396474,2.7618357281599466,656.2945190157209,3.0107882525257145e-09,5506.138340950012,1.6765836151382585e-05
2025-11-26,24327,678596904,92982,22143,3666.8930102278996,1000.0,2000.0,6000.0,7404.0,45081.6000000002,286752.66000000003,647.1604385375977,0.013301279207004515,0.476837158203125,2.789480429152793,2956.2995833333334,2912.5370000000003,2944.975,3024.454,3.0999047918933338e-09,4.428435416990477e-10,3.0540163973120004e-09,3.0880301056e-09,3.1713698775040006e-09,2.00613574454649e-06,0.013211027597682085,2.7705532948534177,655.819020135062,2.999583156906667e-09,6153.29877948761,1.8771971895929076e-05
2025-11-27,24846,420474761,82725,21949,3564.2220755650883,1000.0,2000.0,6000.0,2036.0,29940.5,270440.84999999974,400.99598026275635,0.00806962851691935,0.476837158203125,1.692323758351445,3025.1183333333333,3001.5860000000002,3029.23,3038.756,3.1720664814933334e-09,4.531523544990476e-10,3.1473910415360007e-09,3.17637787648e-09,3.186366611456e-09,1.2719859082050516e-06,0.012645323229874455,2.651916490217767,625.226512500218,3.007934003687619e-09,6554.294759750366,2.004395780413413e-05
2025-11-28,31719,82821765,71988,27559,2798.141071312909,1000.0,2000.0,4000.0,1131.0,5542.4000000000015,27414.579999999994,78.98499011993408,0.0012450737747081257,0.476837158203125,0.26111089567766954,3035.4016666666666,3009.006,3036.3599999999997,3064.575,3.1828493380266667e-09,4.546927625752381e-10,3.155171475456e-09,3.18385422336e-09,3.2134397952e-09,2.51397323517275e-07,0.010886510461942205,2.2830667188283016,540.8574350902012,3.0489018055923814e-09,6633.2797498703,2.0295355127651405e-05
2025-11-29,32523,116648326,97629,28048,2736.862111565143,1000.0,2000.0,4000.0,1131.0,7265.5999999999985,42818.01999999999,111.2445125579834,0.0017102437130335978,0.476837158203125,0.35866410232758356,3008.0241666666666,2989.146,3003.06,3034.204,3.1541419485866666e-09,4.5059170694095236e-10,3.1343467560960004e-09,3.1489366425600003e-09,3.1815934935040004e-09,3.5088098360921166e-07,0.009127144374487056,1.9141009079244278,456.72146497453963,3.0882077393676195e-09,6744.524262428284,2.0646236111260618e-05
2025-11-30,33147,136079173,97446,27981,2690.247851538174,1000.0,2000.0,4000.0,1180.0,7393.800000000003,52403.960000000065,129.77521228790283,0.0019575710062434432,0.476837158203125,0.41053239508854494,3016.2704166666667,2993.964,3010.105,3039.078,3.162788768426667e-09,4.518269669180953e-10,3.1393987952640003e-09,3.1563238604800004e-09,3.186704252928e-09,4.104515838443654e-07,0.007580447561153606,1.5897350763768405,382.759815624782,3.118392747154286e-09,6874.2994747161865,2.1056687695104983e-05
2025-12-01,34193,177995446,73983,29594,2602.9947877436653,1000.0,2000.0,3000.0,1297.0,6731.5999999999985,83675.8800000001,169.7496852874756,0.002482228603624654,0.476837158203125,0.520561068054865,2814.24875,2743.48,2823.7650000000003,2842.935,2.9509536972800006e-09,4.215648138971429e-10,2.87674728448e-09,2.9609322086400007e-09,2.98103341056e-09,5.009234614111925e-07,0.006041744498077823,1.26704565576329,314.41190460750033,3.1119415081447623e-09,7044.049160003662,2.1557611156516176e-05
2025-12-02,33165,397791646,77673,29410,2681.657355679702,1000.0,2000.0,3000.0,1691.0,18702.600000000013,158108.0400000001,379.363676071167,0.005719337796942062,0.476837158203125,1.199432069953264,2878.5533333333333,2797.472,2825.825,3016.093,3.0183819400533333e-09,4.3119742000761906e-10,2.9333619998720005e-09,2.9630922752e-09,3.162602733568e-09,1.1450644685654533e-06,0.004926480374067964,1.0331578169437379,273.8963564464024,3.1058695665371433e-09,7423.412836074829,2.2702675625081628e-05
2025-12-03,29139,189313689,68664,24598,3059.894449757376,1000.0,2000.0,4000.0,1751.0,12721.400000000001,91764.31999999992,180.5436029434204,0.003097971840890566,0.476837158203125,0.6496917842067332,3078.2345833333334,3026.231,3069.685,3134.78,3.2277629064533336e-09,4.611089866361905e-10,3.1732331970560005e-09,3.21879801856e-09,3.2870550732800004e-09,5.827519445782113e-07,0.0034688650360516853,0.7274737248085865,207.23680850437708,3.1241350114742855e-09,7603.9564390182495,2.3285427569659838e-05
2025-12-04,25189,174650326,48091,18300,3521.6859611935433,1000.0,2000.0,4000.0,260.0,8962.600000000002,104671.59999999969,166.5595302581787,0.0033061957651788223,0.476837158203125,0.6933595061336297,3177.1966666666667,3139.841,3186.69,3206.04,3.331532171946667e-09,4.759331674209524e-10,3.292361916416e-09,3.34148665344e-09,3.3617765990400003e-09,5.548984335994467e-07,0.0027883746429458963,0.5847645459203271,173.74588707515173,3.146915824396191e-09,7770.515969276428,2.3840326003259285e-05
2025-12-05,29684,145445763,66520,24372,3004.6590869580336,1000.0,2000.0,3000.0,1107.0,9169.400000000009,70303.61999999915,138.70788860321045,0.002336408310928622,0.476837158203125,0.4899803362080582,3109.29625,3025.564,3130.1400000000003,3171.9199999999996,3.26033342464e-09,4.657619178057143e-10,3.172533796864e-09,3.2821896806400004e-09,3.3259991859199997e-09,4.522339654742887e-07,0.002944279576691681,0.6174601802818112,182.27772971561976,3.1579849796266667e-09,7909.223857879639,2.4292559968733574e-05
2025-12-06,31251,148877065,118308,28009,2880.201387036543,1000.0,2000.0,3000.0,1717.0,7698.0,58357.0,141.98023319244385,0.002271611039525837,0.476837158203125,0.4763913634763688,3036.5295833333334,3026.025,3037.1549999999997,3049.943,3.184032044373334e-09,4.54861720624762e-10,3.1730171904000005e-09,3.18468784128e-09,3.1980970311680003e-09,4.5206961215233964e-07,0.0030244749090477152,0.6342783604459233,186.66854694911413,3.162254993310476e-09,8051.2040910720825,2.4744629580885915e-05
2025-12-07,31311,148416379,119739,28207,2874.817032601464,1000.0,2000.0,3000.0,1896.0,8621.0,62559.30000000017,141.54088878631592,0.002260242227752482,0.476837158203125,0.4740071508415573,3053.0933333333337,3031.352,3046.105,3126.806,3.201400395093334e-09,4.57342913584762e-10,3.1786029547520003e-09,3.1940725964800002e-09,3.2786937282560004e-09,4.5312905728237336e-07,0.003067713654977578,0.6433461826963537,188.34935787745886,3.167770939977143e-09,8192.744979858398,2.5197758638168286e-05
2025-12-08,29372,109783347,91662,24299,3042.682067896887,1000.0,2000.0,3000.0,1434.0,6798.9000000000015,49740.30000000015,104.69755840301514,0.0017822681193486168,0.476837158203125,0.373768715102819,3122.355833333333,3097.35,3129.39,3147.1710000000003,3.2740273902933334e-09,4.677181986133333e-10,3.2478068736e-09,3.28140324864e-09,3.3000479784960005e-09,3.4278267390830743e-07,0.0029677193000810015,0.6223758465603472,179.05619689396448,3.2139243246933333e-09,8297.442538261414,2.5540541312076593e-05
2025-12-09,28645,101518950,70390,21821,3106.2376415603094,1000.0,2000.0,3000.0,1106.0,6546.200000000004,49428.720000000045,96.81601524353027,0.001689928700358357,0.476837158203125,0.3544037353813929,3189.275416666667,3107.2549999999997,3121.6850000000004,3365.5499999999997,3.344197659306667e-09,4.777425227580953e-10,3.25819301888e-09,3.2733239705600006e-09,3.5290349568e-09,3.2377189156081254e-07,0.002392089429140472,0.5016575130500799,138.69224534715926,3.26046942744381e-09,8394.258553504944,2.5864313203637405e-05
2025-12-10,28393,59139896,41494,19823,3114.7481884711055,1000.0,2000.0,3000.0,555.0,4959.199999999997,29052.519999999964,56.40019989013672,0.0009932060699844455,0.476837158203125,0.208290409608002,3333.2958333333336,3310.116,3323.115,3366.66,3.4952140117333337e-09,4.993162873904763e-10,3.470908194816e-09,3.48453863424e-09,3.53019887616e-09,1.9713076892056666e-07,0.002091408604725312,0.4386001738216897,120.95747348240444,3.298676728198096e-09,8450.65875339508,2.606144397255797e-05
2025-12-11,27083,60511271,41616,18930,3269.593188268685,1000.0,2000.0,3000.0,613.0,4780.5999999999985,31029.36,57.70804500579834,0.0010653924049366455,0.476837158203125,0.2234289812797696,3211.0458333333336,3180.202,3200.2200000000003,3252.863,3.3670255957333337e-09,4.810036565333334e-10,3.3346834923520003e-09,3.3556738867200006e-09,3.410874073088e-09,1.9430446461425416e-07,0.0017712938389764295,0.3714672416997097,105.40726130349296,3.3037472173104767e-09,8508.366798400879,2.6255748437172225e-05
2025-12-12,28452,58040113,39904,19441,3107.1788231909077,1000.0,2000.0,3000.0,523.0,4379.0,27957.939999999988,55.351365089416504,0.0009727148370837992,0.476837158203125,0.20399308660199633,3188.5712499999995,3071.742,3237.6499999999996,3249.663,3.34345928704e-09,4.776370410057143e-10,3.2209549393920005e-09,3.3949220864e-09,3.4075186298880003e-09,1.8506503565855122e-07,0.0015764804855700261,0.3306119203274151,93.4991865158081,3.315622340510477e-09,8563.718163490295,2.6440813472830777e-05
2025-12-13,30919,60676514,42255,22090,2874.189148730914,1000.0,2000.0,3000.0,522.0,3935.0,26451.0,57.86563301086426,0.0009357617162725874,0.476837158203125,0.19624345548044891,3102.8908333333334,3085.788,3102.85,3118.5370000000003,3.253616858453334e-09,4.6480240835047625e-10,3.2356832378880004e-09,3.2535740416000003e-09,3.2700230533120006e-09,1.8827259908922164e-07,0.001385644867962419,0.2905907906137123,81.48281506129673,3.3255630282361907e-09,8621.58379650116,2.662908607192e-05
2025-12-14,29510,60181218,40371,20478,3012.307799588578,1000.0,2000.0,4000.0,491.0,4930.0,27001.659999999996,57.39328193664551,0.000972437850502296,0.476837158203125,0.20393499830565912,3101.585416666667,3082.5009999999997,3104.7799999999997,3119.792,3.252248029866667e-09,4.6460686140952386e-10,3.232236568576e-09,3.25559779328e-09,3.271339016192e-09,1.866571881060375e-07,0.0012016728140695353,0.2520090545371554,69.46172836848667,3.3328269760609524e-09,8678.977078437805,2.6815743260026036e-05
2025-12-15,30065,87203188,60049,21499,2969.5865837313995,1000.0,2000.0,4000.0,804.0,4965.0,39596.12000000005,83.1634407043457,0.0013830607135264545,0.476837158203125,0.2900488541493431,3065.1966666666667,2936.527,3112.51,3155.533,3.214091659946667e-09,4.5915595142095246e-10,3.079171735552e-09,3.2637032857600006e-09,3.308816171008e-09,2.6729492118030665e-07,0.0011446431846663693,0.2400490744009446,66.38542584010533,3.3242647288685716e-09,8762.14051914215,2.7083038181206343e-05
2025-12-16,30589,47291034,38009,20747,2903.2897610806813,1000.0,2000.0,3000.0,420.0,3085.0,21348.599999999995,45.10024452209473,0.0007371971055296794,0.476837158203125,0.15460143842557783,2941.86875,2923.8810000000003,2945.625,2958.3849999999998,3.0847729664000005e-09,4.406818523428572e-10,3.0659114434560007e-09,3.0887116800000002e-09,3.10209150976e-09,1.391240150797875e-07,0.0010085386711194153,0.2115058891215424,58.997458594185964,3.2872040584533334e-09,8807.240763664246,2.722216219628613e-05
2025-12-17,30907,50696482,40457,21541,2875.686470294558,1000.0,2000.0,3000.0,484.0,3181.4000000000015,23175.19999999996,48.34793281555176,0.0007821518234631598,0.476837158203125,0.16402912608794123,2906.5733333333333,2820.123,2926.67,2956.393,3.0477630395733333e-09,4.353947199390476e-10,2.9571132948480004e-09,3.0688359219200003e-09,3.100002746368e-09,1.4735304267501334e-07,0.0009783880644735174,0.2051828486186766,57.84713472638811,3.223282491001905e-09,8855.588696479797,2.7369515238961144e-05
2025-12-18,31371,61253779,39819,21882,2833.9018630280766,1000.0,2000.0,3000.0,492.0,4376.0,25753.3,58.41615581512451,0.0009310534540678415,0.476837158203125,0.1952560613305282,2853.06875,2824.612,2836.33,2945.995,2.9916594176000003e-09,4.2737991680000003e-10,2.9618203525120004e-09,2.97410756608e-09,3.0890996531200003e-09,1.7476124268430624e-07,0.0009591967857779739,0.20115814576878496,57.94829341343471,3.1696587512685716e-09,8914.004852294922,2.754427648164545e-05
2025-12-19,33051,81341671,44327,23623,2691.7564957318214,1000.0,2000.0,3000.0,565.0,5788.0,30214.0,77.57346248626709,0.0011735418366504355,0.476837158203125,0.2461095609815134,2935.8799999999997,2830.6510000000003,2954.245,2981.336,3.07849330688e-09,4.3978475812571426e-10,2.9681527029760006e-09,3.09775040512e-09,3.126157377536e-09,2.3880938505547997e-07,0.0009878863571446362,0.2071747849658588,61.12287875584194,3.1318064683885715e-09,8991.578314781189,2.7783085866700928e-05
2025-12-20,34425,99523650,50410,27556,2588.862914343943,1000.0,2000.0,3000.0,1129.0,5518.600000000002,38200.2400000003,94.91314888000488,0.001378549729557079,0.476837158203125,0.28910283224400873,2979.478333333333,2975.149,2978.3450000000003,2984.459,3.1242094728533333e-09,4.463156389790476e-10,3.119669837824e-09,3.1230210867200005e-09,3.129432080384e-09,2.9652855882924995e-07,0.0010511417876138494,0.22044041021779595,66.41538102286202,3.1133196990171432e-09,9086.491463661194,2.807961442553018e-05
2025-12-21,33601,880191250,64346,28293,2666.7386675718208,1000.0,2000.0,3000.0,7048.0,45600.0,402038.0,839.4157886505127,0.01249093462472118,0.476837158203125,2.619538853010327,2980.31875,2969.646,2978.8950000000004,2994.878,3.1250907136e-09,4.4644153051428575e-10,3.1138995240960004e-09,3.1235978035200005e-09,3.1403571937280002e-09,2.6232504859609375e-06,0.0026966413267879756,0.5655266751756056,178.13288198198592,3.095154368121905e-09,9925.907252311707,3.070286491149112e-05
2025-12-22,31966,849308384,56012,25535,2790.626312219387,1000.0,2000.0,3000.0,5583.5,46075.0,396932.5999999995,809.9635925292969,0.012669142096748059,0.476837158203125,2.6569116686479384,3025.6045833333333,2991.844,3026.7799999999997,3055.586,3.1725763515733334e-09,4.532251930819048e-10,3.137175814144e-09,3.17380886528e-09,3.204014145536e-09,2.569671339293827e-06,0.004308938667248205,0.9036499343896907,281.9614750998361,3.0892236097828576e-09,10735.870844841003,3.327253625078495e-05
2025-12-23,32761,846521887,61513,27359,2729.1535060012634,1000.0,2000.0,4000.0,5819.0,43793.0,399951.6000000001,807.3061819076538,0.01232114681950572,0.476837158203125,2.583931769482006,2965.9558333333334,2930.057,2962.75,3003.132,3.1100301038933335e-09,4.442900148419048e-10,3.072387448832e-09,3.1066685440000003e-09,3.1490121400320004e-09,2.510746528791991e-06,0.00596378862638764,1.250697124540609,390.8480375834874,3.092831772281905e-09,11543.177026748657,3.578328277957694e-05
2025-12-24,33816,830022845,58580,27530,2641.9790838480826,1000.0,2000.0,4000.0,4638.0,41713.0,402044.04999999993,791.5714693069458,0.011704096719111453,0.476837158203125,2.4545269842678024,2937.67375,2922.848,2934.98,2961.763,3.08037419008e-09,4.400534557257143e-10,3.064828264448e-09,3.0775495884800002e-09,3.105633599488e-09,2.4383363236568187e-06,0.00752406646862311,1.5779111042805891,497.02282851082936,3.097490508068571e-09,12334.748496055603,3.822161910323376e-05
2025-12-25,31312,828543060,54334,23975,2852.327500825355,1000.0,2000.0,4000.0,2577.5,45806.8,409095.2899999999,790.1602363586426,0.012617530601025845,0.476837158203125,2.6460879535002557,2939.7675,2923.924,2942.0699999999997,2953.564,3.08256964608e-09,4.4036709229714287e-10,3.065956532224e-09,3.08498399232e-09,3.097036324864e-09,2.43572396013855e-06,0.009193563203902825,1.9280299460191215,601.5576971599033,3.1104776835657144e-09,13124.908732414246,4.065734306337231e-05
2025-12-26,30913,829795000,57352,24090,2889.594969731429,1000.0,2000.0,4000.0,2477.0,46858.399999999994,408130.68,791.3541793823242,0.012799698822215964,0.476837158203125,2.6842913984407852,2943.7358333333336,2915.978,2943.2200000000003,2972.638,3.0867307451733337e-09,4.4096153502476197e-10,3.0576245473280005e-09,3.0861898547200005e-09,3.117036863488e-09,2.4426972758208337e-06,0.010854442773269328,2.276341637084732,703.5263710021973,3.1116544604647623e-09,13916.26291179657,4.310004033919314e-05
2025-12-27,31425,829771716,56677,24504,2840.7588860026963,1000.0,2000.0,4000.0,2341.0,46191.000000000015,410136.3999999998,791.331974029541,0.012590803087184424,0.476837158203125,2.640482787589499,2928.3058333333333,2925.2110000000002,2928.005,2932.372,3.0705512174933338e-09,4.386501739276191e-10,3.0673060495360003e-09,3.07023577088e-09,3.074814902272e-09,2.4298253562978097e-06,0.012456193252930377,2.612253059276945,803.0147745949881,3.1039889954133334e-09,14707.59488582611,4.552986569549095e-05
2025-12-28,31309,824206337,55100,24245,2851.6318516318515,1000.0,2000.0,4000.0,2294.0,45918.200000000004,407644.4399999996,786.0244150161743,0.012552691159349936,0.476837158203125,2.632490137021304,2939.625,2931.878,2940.51,2946.8849999999998,3.082420224e-09,4.403457462857143e-10,3.074296905728e-09,3.0833482137600005e-09,3.09003288576e-09,2.422857553403625e-06,0.0124650156150202,2.6141032427070843,795.3874355043683,3.0978932111847617e-09,15493.619300842285,4.7952723248894576e-05
2025-12-29,30039,826269798,52316,22561,2964.8189462845376,1000.0,2000.0,4000.0,2405.0,48144.400000000016,407658.65999999986,787.9922847747803,0.01311615374637605,0.476837158203125,2.7506568061520023,2965.8133333333335,2925.616,2952.745,3033.55,3.109880681813334e-09,4.442686688304763e-10,3.0677307228160003e-09,3.0961775411200002e-09,3.1809077248000006e-09,2.45056198383904e-06,0.012528874422109914,2.627495405207665,792.2486772537231,3.088936686933333e-09,16281.611585617065,5.0403285232733617e-05
2025-12-30,26735,838731047,56204,20468,3351.1867825007757,1000.0,2000.0,5000.0,2160.0,51890.600000000006,434178.74,799.8762578964233,0.01495934651012574,0.476837158203125,3.137202345240322,2961.1337500000004,2934.375,2966.9449999999997,2983.9230000000002,3.1049737830400006e-09,4.4356768329142864e-10,3.0769152000000003e-09,3.11106732032e-09,3.1288700436480004e-09,2.4835948104445367e-06,0.012905760092198487,2.7065340588874243,791.187259537833,3.0882143553828573e-09,17081.48784351349,5.288688004317815e-05
